path,type,lines,purpose,test_count,category,note
scripts/validate_hud_drgr_coverage.py,script,186,Coverage and entity-resolution report for HUD DRGR,,KEEP,active validation script
scripts/write_source_manifests.py,script,127,Write per-source manifests for registry-declared sources,,KEEP,active data processing
tests/__init__.py,test,0,,0,KEEP,test file
tests/conftest.py,test,93,Shared fixtures for Contract-Sweeper test suite,0,KEEP,test file
tests/test_acquisition_package_r48g.py,test,357,Tests for R4,2,KEEP,test file
tests/test_alias_registry_builder.py,test,69,Tests for scripts/alias_registry_builder,4,KEEP,test file
tests/test_analyze_bond_flow.py,test,130,Tests for analyze_bond_flow — name matching and dual-role detection,18,KEEP,test file
tests/test_analyze_project_delivery.py,test,219,Tests for analyze_project_delivery — sub-scorers and composite score,24,KEEP,test file
tests/test_analyze_rfp_lobby.py,test,125,Tests for analyze_rfp_lobby — vendor matching and influence score formula,15,KEEP,test file
tests/test_artifact_lineage_audit.py,test,128,Tests for R1 artifact lineage and cache audit,2,KEEP,test file
tests/test_backfill_execution_plan.py,test,98,Tests for R4,2,KEEP,test file
tests/test_backfill_failure_remediation_r48c.py,test,548,Tests for R4,3,KEEP,test file
tests/test_backfill_readiness_audit_r48a.py,test,379,Tests for R4,3,KEEP,test file
tests/test_backfill_runner_r47.py,test,168,Tests for R4,3,KEEP,test file
tests/test_build_unified_master.py,test,115,Tests for scripts/build_unified_master,21,KEEP,test file
tests/test_cms_mapper.py,test,154,Tests for cms_mapper — deterministic CMS healthcare data mapping,11,KEEP,test file
tests/test_config.py,test,187,Tests for scripts/config,32,KEEP,test file
tests/test_controlled_backfill_execution_r48b.py,test,640,Tests for R4,3,KEEP,test file
tests/test_controlled_backfill_r48.py,test,240,Tests for R4,3,KEEP,test file
tests/test_deduplicate_master.py,test,121,Tests for scripts/deduplicate_master,9,KEEP,test file
tests/test_download_cms.py,test,110,Tests for download_cms — CMS Open Payments and Medicare provider data,8,KEEP,test file
tests/test_download_emma.py,test,320,"Tests for download_emma — record normalization, underwriter extraction, and run() flow",26,KEEP,test file
tests/test_download_fdic.py,test,79,Tests for download_fdic — FDIC bank institution and financial data,5,KEEP,test file
tests/test_download_fsrs.py,test,116,Tests for download_fsrs — FSRS subaward data via USAspending fallback,6,KEEP,test file
tests/test_download_instructions.py,test,45,Tests for scripts/download_instructions,5,KEEP,test file
tests/test_download_ofac.py,test,92,Tests for scripts/download_ofac,6,KEEP,test file
tests/test_download_sf133.py,test,81,Tests for download_sf133 — account relevance filter and obligation rate,10,KEEP,test file
tests/test_emma_mapper.py,test,133,Tests for emma_mapper — deterministic EMMA bond data mapping,10,KEEP,test file
tests/test_entity_universe_audit.py,test,121,Tests for R2 entity universe and collapse audit,2,KEEP,test file
tests/test_execution_chain_builder.py,test,167,Tests for scripts/execution_chain_builder,11,KEEP,test file
tests/test_external_blocker_freeze_r49d.py,test,317,Tests for R4,2,KEEP,test file
tests/test_external_source_delivery_gate_r49c.py,test,325,Tests for R4,2,KEEP,test file
tests/test_fdic_mapper.py,test,152,Tests for fdic_mapper — deterministic FDIC bank data mapping,10,KEEP,test file
tests/test_final_source_recovery_pass_r48i.py,test,308,Tests for R4,2,KEEP,test file
tests/test_gap_analysis_builder.py,test,145,Tests for scripts/gap_analysis_builder,9,KEEP,test file
tests/test_highergov_mapper.py,test,95,Tests for highergov_mapper — deterministic HigherGov resource mapping,7,KEEP,test file
tests/test_influence_graph_builder.py,test,147,Tests for scripts/influence_graph_builder,10,KEEP,test file
tests/test_ingest_manual_data.py,test,470,Tests for the 5 manual data ingestion scripts,47,KEEP,test file
tests/test_lda_enrich.py,test,80,Tests for scripts/lda_enrich,15,KEEP,test file
tests/test_linkage_confidence.py,test,59,Tests for the subaward linkage confidence helper,5,KEEP,test file
tests/test_manifest_runtime.py,test,111,Tests for the manifest runtime,7,KEEP,test file
tests/test_manual_fallback_endpoint_resolution_r48e.py,test,325,Tests for R4,2,KEEP,test file
tests/test_manual_fulfillment_endpoint_retry_r48h.py,test,278,Tests for R4,2,KEEP,test file
tests/test_manual_import_dropzone_retry_r48f.py,test,293,Tests for R4,2,KEEP,test file
tests/test_master_input_recovery.py,test,109,Tests for R4 master input recovery + rebuild gate orchestration,2,KEEP,test file
tests/test_name_normalization.py,test,39,Tests for the name-normalization helper,4,KEEP,test file
tests/test_new_downloaders.py,test,663,Tests for the 15 new downloader scripts added in Round 3 pipeline expansion,84,KEEP,test file
tests/test_ngo_integration.py,test,130,Tests for the additive NGO / OSFL integration layer,3,KEEP,test file
tests/test_no_secret_leakage.py,test,47,Tests that no secrets are committed to the repo,3,KEEP,test file
tests/test_normalize.py,test,169,Tests for scripts/normalize_expansion_inputs,15,KEEP,test file
tests/test_parent_collapse.py,test,139,Tests for scripts/parent_collapse,11,KEEP,test file
tests/test_partial_master_rebuild_r49a.py,test,306,Tests for R4,3,KEEP,test file
tests/test_production_status_gate.py,test,112,Tests for R0 production status gate,7,KEEP,test file
tests/test_r48d_downloader_return_flow.py,test,157,Return-flow tests for R4,4,KEEP,test file
tests/test_r4_build_unified_master_guards.py,test,140,R4 tests for fail-closed input guards and source lineage in build_unified_master,3,KEEP,test file
tests/test_raw_usaspending_discovery_r49h.py,test,316,Tests for R4,2,KEEP,test file
tests/test_raw_usaspending_mapping_feasibility_r49h2.py,test,272,Tests for R4,2,KEEP,test file
tests/test_repo_quality_audit_r49z_b.py,test,225,Tests for R4,2,KEEP,test file
tests/test_risk_signals.py,test,484,Unit tests for the R7 risk signal engine and gates,40,KEEP,test file
tests/test_sam_enrichment.py,test,129,Tests for scripts/sam_enrichment,14,KEEP,test file
tests/test_schema_registry.py,test,62,Tests for the schema registry loader,5,KEEP,test file
tests/test_scoped_unfreeze_retry_r49g.py,test,387,Tests for R4,2,KEEP,test file
tests/test_setup_directories.py,test,57,Tests for scripts/setup_directories,3,KEEP,test file
tests/test_source_coverage_audit.py,test,150,Tests for R3 source coverage and master-input audit,3,KEEP,test file
tests/test_source_delivery_handoff_r49e.py,test,262,Tests for R4,2,KEEP,test file
tests/test_source_delivery_watch_r49f.py,test,295,Tests for R4,3,KEEP,test file
tests/test_source_input_recovery.py,test,135,Tests for R4,3,KEEP,test file
tests/test_source_materialization_rebuild_retry_r49b.py,test,242,Tests for R4,2,KEEP,test file
tests/test_source_recovery_pause_lock_r49z.py,test,231,Tests for R4,2,KEEP,test file
tests/test_source_registry.py,test,86,Tests for the source registry loader,7,KEEP,test file
tests/test_targeted_backfill_retry_r48d.py,test,514,Tests for R4,3,KEEP,test file
tests/test_validate_coverage.py,test,100,Tests for scripts/validate_expansion_coverage,11,KEEP,test file
tests/test_validate_downloads.py,test,95,Tests for scripts/validate_downloads,7,KEEP,test file
tests/test_validation_gates.py,test,331,Tests for the R5 validation gates,17,KEEP,test file
tests/test_write_source_manifests.py,test,77,Tests for scripts/write_source_manifests,3,KEEP,test file
